RespId       	HW CD 	Model Name                 	Context	 Temp	TPS	  Duration	 Sc	 or	 es	      Date Time   	UPC	Model User Prompt	 Eval Duration	Eval Tokens	Prompt Eval Tokens	SysPmtCd	Model System Prompt	  Web Search Prompt    	Doc-File Name          	Web Search URL         	CPU_GPU                	RAM	OS       	Computer 	Server                               	Response File	
s14_t001.63  	rm228p	qwen2:0.5b                 	   4000	  0.7	239.46	   2.51	  0	  0	  0	  2025-05-12 21:49	KP0	   69	What is this document ab...	  0.29	  796	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 3676 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.63.4.50512.2149_Response.txt
s14_t001.64  	rm228p	qwen2:0.5b                 	   4000	  0.7	260.77	   3.38	  0	  0	  0	  2025-05-12 22:23	KP0	  222	What is this document ab...	  0.85	 4000	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 193275 bytes 	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.64.4.50512.2223_Response.txt
s14_t009.05  	rm228p	gemma2:2b                  	   4000	  0.7	103.96	   7.27	  0	  0	  0	  2025-05-12 22:31	KP0	  254	What is this document ab...	  2.44	 4000	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 193275 bytes 	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	sc212d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t009_gemma2;2b_1,1-test on rm228p/s14_t009.05.4.50512.2231_Response.txt
s14_t009.05  	rm228p	gemma2:2b                  	   4000	  0.7	108.35	   2.16	  0	  0	  0	  2025-05-12 22:32	KP0	  199	What is this document ab...	  1.84	 1570	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 7150 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	sc212d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t009_gemma2;2b_1,1-test on rm228p/s14_t009.05.4.50512.2231_Response.txt
s14_t001.06  	rm228p	qwen2:0.5b                 	   4000	  0.7	261.53	   4.51	  0	  0	  0	  2025-05-12 22:40	KP0	  552	What is this document ab...	  2.11	 4000	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 193643 bytes 	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.06.4.50512.2240_Response.txt
s14_t001.07  	rm228p	qwen2:0.5b                 	   4000	  0.7	249.37	   1.86	  0	  0	  0	  2025-05-12 22:41	KP0	  329	What is this document ab...	  1.32	 4000	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 193594 bytes 	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.07.4.50512.2241_Response.txt
s14_t001.08  	rm228p	qwen2:0.5b                 	   4000	  0.7	252.27	  16.60	  0	  0	  0	  2025-05-12 22:45	KP0	 4047	What is this document ab...	 16.04	 4000	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 193813 bytes 	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.08.4.50512.2245_Response.txt
s14_t001.09  	rm228p	qwen2:0.5b                 	   4000	  0.7	249.66	   2.90	  0	  0	  0	  2025-05-12 22:45	KP0	  600	What is this document ab...	  2.40	 4000	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 194079 bytes 	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.09.4.50512.2245_Response.txt
s14_t001.10  	rm228p	qwen2:0.5b                 	   4000	  0.7	244.49	   1.95	  0	  0	  0	  2025-05-12 22:47	KP0	  313	What is this document ab...	  1.28	 4000	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 194029 bytes 	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.10.4.50512.2247_Response.txt
s14_t001.11  	rm228p	qwen2:0.5b                 	   4000	  0.7	267.30	   1.30	  0	  0	  0	  2025-05-12 22:48	KP0	  304	What is this document ab...	  1.14	 1498	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 7091 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.11.4.50512.2248_Response.txt
s14_t001.12  	rm228p	qwen2:0.5b                 	   4000	  0.7	264.16	   1.66	  0	  0	  0	  2025-05-12 22:50	KP0	  400	What is this document ab...	  1.51	 1269	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 6216 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.12.4.50512.2250_Response.txt
s14_t001.13  	rm228p	qwen2:0.5b                 	   4000	  0.7	266.72	   0.85	  0	  0	  0	  2025-05-12 22:51	KP0	  197	What is this document ab...	  0.74	 1114	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 5444 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.13.4.50512.2251_Response.txt
s14_t001.14  	rm228p	qwen2:0.5b                 	   4000	  0.7	268.73	   7.17	  0	  0	  0	  2025-05-12 22:51	KP0	 1901	What is this document ab...	  7.07	 1297	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 6311 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.14.4.50512.2251_Response.txt
