RespId     	 Model                    	Context	Temp	Duration	Eval Tokens	PCD	Model Query Prompt	Eval Duration	Prompt Eval Tokens	Tokens Per Second	Web Search	Docs	Web Search URL	CPU_GPU	RAM	OS	Computer	Server	Response File
a12_t012.01	 qwen2:0.5b               	 8000	0.07	   4.88	   53	CR1	What are the city's rest...	   1.58	  4002	 33.61	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t012_Test 3 on rm228p/a12_t012.01.4.50405.1650_Response.txt
a12_t012.02	 qwen2:0.5b               	 8000	0.07	  12.17	  343	CR2	What are the city's rest...	  11.92	  4002	 28.76	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t012_Test 3 on rm228p/a12_t012.02.4.50405.1650_Response.txt
a12_t012.03	 gemma2:2b                	 8000	0.07	  21.92	  348	CR3	What are the city's rest...	  15.89	  4002	 21.90	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t012_Test 3 on rm228p/a12_t012.03.4.50405.1650_Response.txt
a12_t012.04	 gemma2:2b                	 8000	0.07	  17.81	  395	CR4	What are the city's rest...	  17.46	  4002	 22.62	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t012_Test 3 on rm228p/a12_t012.04.4.50405.1650_Response.txt
a12_t012.05	 llama3                   	16000	0.07	  26.43	  247	CR5	What are the city's rest...	  10.14	  8392	 24.35	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t012_Test 3 on rm228p/a12_t012.05.4.50405.1651_Response.txt
a12_t012.06	 llama3                   	16000	0.07	  11.06	  264	CO1	What are the city's rest...	  10.82	  8392	 24.41	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t012_Test 3 on rm228p/a12_t012.06.4.50405.1651_Response.txt
a12_t012.07	 llama3.2                 	 8000	0.07	  24.46	  440	CO2	What are the city's rest...	  15.82	  4002	 27.82	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t012_Test 3 on rm228p/a12_t012.07.4.50405.1652_Response.txt
a12_t012.08	 llama3.2                 	 8000	0.07	  13.60	  367	CO3	What are the city's rest...	  13.41	  4002	 27.36	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t012_Test 3 on rm228p/a12_t012.08.4.50405.1652_Response.txt
a12_t012.09	 qwen2:0.5b               	 8000	0.07	  31.46	  870	CO4	What are the city's rest...	  28.43	  4002	 30.61	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t012_Test 3 on rm228p/a12_t012.09.4.50405.1656_Response.txt
a12_t012.10	 qwen2:0.5b               	 8000	0.07	   1.39	   33	CO5	What are the city's rest...	   1.08	  4002	 30.59	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t012_Test 3 on rm228p/a12_t012.10.4.50405.1656_Response.txt
a12_t012.11	 qwen2:0.5b               	 8000	0.07	  16.30	  374	IN1	What are the city's rest...	  12.77	  4002	 29.28	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t012_Test 3 on rm228p/a12_t012.11.4.50405.1703_Response.txt
a12_t012.12	 qwen2:0.5b               	 8000	0.07	   1.65	   44	IN2	What are the city's rest...	   1.41	  4002	 31.14	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t012_Test 3 on rm228p/a12_t012.12.4.50405.1703_Response.txt
a12_t012.13	 gemma2:2b                	 8000	0.07	  23.20	  338	IN3	What are the city's rest...	  15.72	  4002	 21.50	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t012_Test 3 on rm228p/a12_t012.13.4.50405.1704_Response.txt
a12_t012.14	 gemma2:2b                	 8000	0.07	   9.07	  187	IN4	What are the city's rest...	   8.76	  4002	 21.36	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t012_Test 3 on rm228p/a12_t012.14.4.50405.1704_Response.txt
a12_t012.15	 llama3                   	16000	0.07	 213.74	  285	IN5	What are the city's rest...	  10.45	  8392	 27.27	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t012_Test 3 on rm228p/a12_t012.15.4.50405.1704_Response.txt
a12_t012.16	 llama3                   	16000	0.07	   6.71	  173	KN1	What are the city's rest...	   6.48	  8392	 26.68	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t012_Test 3 on rm228p/a12_t012.16.4.50405.1704_Response.txt
a12_t012.17	 llama3.2                 	 8000	0.07	  22.16	  395	KN2	What are the city's rest...	  14.14	  4002	 27.94	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t012_Test 3 on rm228p/a12_t012.17.4.50405.1708_Response.txt
a12_t012.18	 llama3.2                 	 8000	0.07	  16.79	  452	KN3	What are the city's rest...	  16.38	  4002	 27.59	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t012_Test 3 on rm228p/a12_t012.18.4.50405.1708_Response.txt
